gamma,lr,clip_eps,ent_coef,gae_lambda,vf_coef,max_grad_norm,update_epochs,minibatch_size,hidden,energy_ratio,viol_pct,reward_mean,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,score_0_1
0.95,0.001,0.3,0.0,0.95,0.5,0.5,10,256,256,1.5969802712863395,0.0,-10.55736474271952,0.19155977905374974,1.5969802712863395,443.21519112586986,707.8059161624185,-59.69802712863396,0.08364158579033683
0.9,0.001,0.2,0.01,0.95,0.5,0.5,10,256,256,1.5973053373966175,0.0,-9.837033139121864,0.18930679410964665,1.5973053373966175,443.21519112586986,707.9499904006138,-59.73053373966174,0.08399627037178707
0.9,0.0003,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5975085385438592,0.0,-10.239466417024852,0.19240896226609616,1.5975085385438592,443.21519112586986,708.0400522359256,-59.75085385438592,0.08421798623690137
0.9,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.5984432252061331,0.0,-9.770729064077685,0.19082461116568952,1.5984432252061331,443.21519112586986,708.4543195635881,-59.844322520613304,0.08523783708297138
0.95,0.001,0.3,0.01,0.95,0.5,0.5,10,256,256,1.5985693821609221,0.0,-9.77688405466431,0.19325629260451813,1.5985693821609221,443.21519112586986,708.5102342424168,-59.85693821609222,0.08537548885684626
0.9,0.0003,0.1,0.01,0.95,0.5,0.5,10,256,256,1.5795462936413671,1.0416666666666665,-11.031658577712374,0.2615726958167861,1.6003796269747004,443.21519112586986,700.0789124284179,-57.954629364136714,0.08735067453076416
0.99,0.001,0.3,0.05,0.95,0.5,0.5,10,256,256,1.5810217101580946,1.0416666666666665,-13.428227620225405,0.2877866307689709,1.6018550434914278,443.21519112586986,700.7328394418695,-58.10217101580945,0.08896052395263297
0.95,0.001,0.1,0.01,0.95,0.5,0.5,10,256,256,1.5242257588232113,4.166666666666666,-21.387624465752413,0.7074241507904794,1.6075590921565446,443.21519112586986,675.5600110158036,-52.422575882321134,0.09518429828465509
0.9,0.0003,0.3,0.05,0.95,0.5,0.5,10,256,256,1.587675398485319,1.0416666666666665,-10.001172498915164,0.2499017193460463,1.6085087318186522,443.21519112586986,703.6818551855122,-58.76753984853188,0.09622046457647519
0.99,0.001,0.2,0.05,0.95,0.5,0.5,10,256,256,1.5897107092298248,1.0416666666666665,-10.346628826114387,0.329538585464313,1.610544042563158,443.21519112586986,704.5839358261389,-58.971070922982484,0.09844122311361952
