gamma,lr,eps_decay,tau,batch_size,buffer_size,start_learning,train_steps_per_ep,hidden,energy_ratio,viol_pct,rmse_temp,raw_cost,kwh_real,kwh_algo,savings_pct,reward_mean_last10,eval_return,eval_cost_std,score_0_1
0.9,0.0003,0.99,0.02,64,50000,200,1,256,0.9250248377895387,40.416666666666664,2.0228051521305814,1.733358171122872,511.54481630325336,441.41243021488225,7.497516221046129,-24.75233972377469,-17.717533935523107,0.424283892028666,0.3425694023150373
0.95,0.0003,0.998,0.005,64,50000,200,1,256,0.8093575635341989,46.25000000000001,2.2553044626099585,1.7343575635341992,511.54481630325336,386.4533704757692,19.064243646580117,-28.44774387396213,-19.411266924875463,0.4524030332903337,0.3437462268762697
0.95,0.001,0.995,0.01,64,50000,200,1,256,1.039372523823657,35.0,1.88302034152263,1.739372523823657,511.54481630325336,504.77020270109216,-3.937252382365694,-26.868627598725972,-23.900767233098634,0.5088046708069768,0.3496515433218905
0.9,0.001,0.99,0.005,64,50000,200,1,256,0.831063028755201,45.41666666666667,2.255109396884252,1.7393963620885344,511.54481630325336,395.72581277370483,16.893697124479893,-24.76874920700342,-19.074858117944895,0.4191573391877271,0.3496796138328199
0.95,0.001,0.998,0.005,64,50000,200,1,256,0.899556392871814,42.08333333333333,2.0678882252546873,1.7412230595384806,511.54481630325336,429.07909037113234,10.044360712818598,-28.621684375696695,-17.819619376982985,0.42325887818982555,0.35183062318677566
0.9,0.0001,0.998,0.01,64,50000,200,1,256,1.095412303750166,32.70833333333333,1.77450810640143,1.7495789704168323,511.54481630325336,532.76256923914,-9.541230375016589,-28.837579968285958,-19.142497444896918,0.4688944504137838,0.3616700426597078
0.99,0.0003,0.998,0.005,64,50000,200,1,256,0.8761853272165391,43.75,2.1351005106160326,1.751185327216539,511.54481630325336,418.53588386774084,12.38146727834609,-28.319560012104677,-18.800474263077508,0.41947527410488,0.363561592079707
0.9,0.0003,0.995,0.02,64,50000,200,1,256,1.097947087491241,32.708333333333336,1.6162953807067868,1.7521137541579077,511.54481630325336,540.9598530387882,-9.794708749124096,-27.293706112045122,-18.595478397097356,0.5783852379446828,0.36465485195993924
0.99,0.001,0.998,0.005,64,50000,200,1,256,0.947633299063716,40.41666666666667,2.0012293226465854,1.7559666323970489,511.54481630325336,457.15279441833525,5.2366700936284145,-28.935355125409707,-18.580302653841066,0.4828432131486778,0.36919177028338124
0.99,0.001,0.99,0.005,64,50000,200,1,256,0.8625641857670713,45.00000000000001,1.9869778271060106,1.7625641857670715,511.54481630325336,421.33829403400443,13.743581423292875,-26.46064101781098,-21.0049301766947,0.515871868259167,0.3769606534186589
0.9,0.001,0.998,0.02,64,50000,200,1,256,1.1752535679451455,29.375,1.6775782949665339,1.7627535679451458,511.54481630325336,571.5968252086643,-17.525356794514558,-27.969889166785286,-18.330122409267158,0.43439511489864185,0.3771836585126455
0.9,0.0003,0.995,0.005,64,50000,200,1,256,1.0376088839091002,37.08333333333333,1.9313857617609105,1.779275550575767,511.54481630325336,501.47202748298696,-3.760888390910035,-27.073762755319272,-19.488730354962648,0.42459244450591227,0.39663895428995605
0.99,0.0001,0.998,0.005,64,50000,200,1,256,1.1244253474748431,32.916666666666664,1.6147768114921655,1.7827586808081766,511.54481630325336,544.3198361945157,-12.44253474748432,-28.764008247825966,-18.953940083681157,0.485446009250344,0.40074047953770864
0.99,0.0001,0.99,0.01,64,50000,200,1,256,1.2540114841363885,26.458333333333332,1.4692955689786127,1.7831781508030553,511.54481630325336,633.3740615940096,-25.401148413638875,-26.840996681115836,-27.250172758247572,0.6997884949903993,0.4012344222443756
0.99,0.0003,0.99,0.005,64,50000,200,1,256,0.9638949741939753,41.25,1.7863240990792957,1.788894974193975,511.54481630325336,471.6178390526773,3.6105025806024713,-26.059594531007928,-19.40203381936281,0.5636783737342342,0.40796621058137916
0.9,0.0001,0.99,0.01,64,50000,200,1,256,1.045205881105965,37.29166666666667,1.742982021194237,1.7910392144392984,511.54481630325336,509.1242115020753,-4.5205881105965,-25.66952715333962,-19.438982296752126,0.5256244398680824,0.41049113928533887
0.95,0.0001,0.995,0.01,64,50000,200,1,256,0.9484445330121124,42.708333333333336,2.007097973050651,1.802611199678779,511.54481630325336,450.43640450000794,5.155546698788763,-27.685656421988455,-18.702311644914044,0.43072264458975185,0.42411761502969114
0.99,0.0001,0.998,0.02,64,50000,200,1,256,1.2936004181020082,25.625,1.3968054456213266,1.8061004181020084,511.54481630325336,660.3730325984957,-29.36004181020084,-28.95893476065899,-27.890501244534686,0.7570135447214905,0.4282263093657907
0.95,0.0003,0.99,0.02,64,50000,200,1,256,1.1077123891512577,35.208333333333336,1.7921560573241648,1.8118790558179243,511.54481630325336,537.1957949090008,-10.771238915125764,-25.861758136886642,-18.83648486734658,0.4340995524476535,0.43503088654436145
0.95,0.0003,0.995,0.005,64,50000,200,1,256,1.074400558384555,37.08333333333333,1.8866310424064079,1.8160672250512213,511.54481630325336,523.6497689890865,-7.440055838455514,-27.46916839631149,-20.445654164624592,0.43933622766321023,0.43996262343217357
